Country,Co2-Emissions,GDP,Gross tertiary education enrollment,Life expectancy,Population
Afghanistan,8672,19101353833,9.70,64.5,38041754
Albania,4536,15278077447,55.00,78.5,2854191
Algeria,150006,169988236398,51.40,76.7,43053054
Andorra,469,3154057987,,,77142
Angola,34693,94635415870,9.30,60.8,31825295
Antigua and Barbuda,557,1727759259,24.80,76.9,97118
Argentina,201348,449663446954,90.00,76.5,44938712
Armenia,5156,13672802158,54.60,74.9,2957731
Australia,375908,1392680589329,113.10,82.7,25766605
Austria,61448,446314739528,85.10,81.6,8877067
Azerbaijan,37620,39207000000,27.70,72.9,10023318
The Bahamas,1786,12827000000,15.10,73.8,389482
Bahrain,31694,38574069149,50.50,77.2,1501635
Bangladesh,84246,302571254131,20.60,72.3,167310838
Barbados,1276,5209000000,65.40,79.1,287025
Belarus,58280,63080457023,87.40,74.2,9466856
Belgium,96889,529606710418,79.70,81.6,11484055
Belize,568,1879613600,24.70,74.5,390353
Benin,6476,14390709095,12.30,61.5,11801151
Bhutan,1261,2446674101,15.60,71.5,727145
Bolivia,21606,40895322865,,71.2,11513100
Bosnia and Herzegovina,21848,20047848435,23.30,77.3,3301000
Botswana,6340,18340510789,24.90,69.3,2346179
Brazil,462299,1839758040766,51.30,75.7,212559417
Brunei,7664,13469422941,31.40,75.7,433285
Bulgaria,41708,86000000000,71.00,74.9,6975761
Burkina Faso,3418,15745810235,6.50,61.2,20321378
Burundi,495,3012334882,6.10,61.2,11530580
Ivory Coast,9674,58792205642,9.30,57.4,25716544
Cape Verde,543,1981845741,23.60,72.8,483628
Cambodia,9919,27089389787,13.70,69.6,16486542
Cameroon,8291,38760467033,12.80,58.9,25876380
Canada,544894,1736425629520,68.90,81.9,36991981
Central African Republic,297,2220307369,3.00,52.8,4745185
Chad,1016,11314951343,3.30,54,15946876
Chile,85822,282318159745,88.50,80,18952038
China,9893038,19910000000000,50.60,77,1397715000
Colombia,97814,323802808108,55.30,77.1,50339443
Comoros,202,1185728677,9.00,64.1,850886
Republic of the Congo,3282,10820591131,12.70,64.3,5380508
Costa Rica,8023,61773944174,55.20,80.1,5047561
Croatia,17488,60415553039,67.90,78.1,4067500
Cuba,28284,100023000000,41.40,78.7,11333483
Cyprus,6626,24564647935,75.90,80.8,1198575
Czech Republic,102218,246489245495,64.10,79,10669709
Democratic Republic of the Congo,2021,47319624204,6.60,60.4,86790567
Denmark,31786,348078018464,80.60,81,5818553
Djibouti,620,3318716359,5.30,66.6,973560
Dominica,180,596033333,7.20,76.6,71808
Dominican Republic,25258,88941298258,59.90,73.9,10738958
Ecuador,41155,107435665000,44.90,76.8,17373662
Egypt,238560,303175127598,35.20,71.8,100388073
El Salvador,7169,27022640000,29.40,73.1,6453553
Equatorial Guinea,5655,11026774945,1.90,58.4,1355986
Eritrea,711,2065001626,3.40,65.9,6333135
Estonia,16590,31386949981,69.60,78.2,1331824
Eswatini,,3791304348,,,1093238
Ethiopia,14870,96107662398,8.10,66.2,112078730
Fiji,2046,5535548972,16.10,67.3,889953
Finland,45871,268761201365,88.20,81.7,5520314
France,303276,2715518274227,65.60,82.5,67059887
Gabon,5321,16657960228,8.30,66.2,2172579
The Gambia,532,1763819048,2.70,61.7,2347706
Georgia,10128,17743195770,63.90,73.6,3720382
Germany,727973,3845630030824,70.20,80.9,83132799
Ghana,16670,66983634224,15.70,63.8,30792608
Greece,62434,209852761469,136.60,81.3,10716322
Grenada,268,1228170370,104.60,72.4,112003
Guatemala,16777,76710385880,21.80,74.1,16604026
Guinea,2996,13590281809,11.60,61.2,12771246
Guinea-Bissau,293,1340389411,2.60,58,1920922
Guyana,2384,4280443645,11.60,69.8,782766
Haiti,2978,8498981821,1.10,63.7,11263077
Vatican City,,,,,836
Honduras,9813,25095395475,26.20,75.1,9746117
Hungary,45537,160967157504,48.50,75.8,9769949
Iceland,2065,24188035739,71.80,82.7,361313
India,2407672,2611000000000,28.10,69.4,1366417754
Indonesia,563325,1119190780753,36.30,71.5,270203917
Iran,661710,445345282123,68.10,76.5,82913906
Iraq,190061,234094042939,16.20,70.5,39309783
Republic of Ireland,37711,388698711348,77.80,82.3,5007069
Israel,65166,395098666122,63.40,82.8,9053300
Italy,320411,2001244392042,61.90,82.9,60297396
Jamaica,8225,16458071068,27.10,74.4,2948279
Japan,1135886,5081769542380,63.20,84.2,126226568
Jordan,25108,43743661972,34.40,74.4,10101694
Kazakhstan,247207,180161741180,61.70,73.2,18513930
Kenya,17910,95503088538,11.50,66.3,52573973
Kiribati,66,194647202,,68.1,117606
Kuwait,98734,134761198946,54.40,75.4,4207083
Kyrgyzstan,9787,8454619608,41.30,71.4,6456900
Laos,17763,18173839128,15.00,67.6,7169455
Latvia,7004,34117202555,88.10,74.7,1912789
Lebanon,24796,53367042272,26.30,78.9,6855713
Lesotho,2512,2460072444,10.20,53.7,2125268
Liberia,1386,3070518100,11.90,63.7,4937374
Libya,50564,52076250948,60.50,72.7,6777452
Liechtenstein,51,6552858739,35.60,83,38019
Lithuania,12963,54219315600,72.40,75.7,2786844
Luxembourg,8988,71104919108,19.20,82.1,645397
Madagascar,3905,14083906357,5.40,66.7,26969307
Malawi,1298,7666704427,0.80,63.8,18628747
Malaysia,248289,364701517788,45.10,76,32447385
Maldives,1445,5729248472,31.20,78.6,530953
Mali,3179,17510141171,4.50,58.9,19658031
Malta,1342,14786156563,54.30,82.3,502653
Marshall Islands,143,221278000,23.70,65.2,58791
Mauritania,2739,7593752450,5.00,64.7,4525696
Mauritius,4349,14180444557,40.60,74.4,1265711
Mexico,486406,1258286717125,40.20,75,126014024
Federated States of Micronesia,143,401932279,14.10,67.8,113815
Moldova,5115,11955435457,39.80,71.8,2657637
Monaco,,7184844193,,,38964
Mongolia,25368,13852850259,65.60,69.7,3225167
Montenegro,2017,5494736901,56.10,76.8,622137
Morocco,61276,118725279596,35.90,76.5,36910560
Mozambique,7943,14934159926,7.30,60.2,30366036
Myanmar,25280,76085852617,18.80,66.9,54045420
Namibia,4228,12366527719,22.90,63.4,2494530
Nauru,,133000000,,,10084
Nepal,9105,30641380604,12.40,70.5,28608710
Netherlands,170780,909070395161,85.00,81.8,17332850
New Zealand,34382,206928765544,82.00,81.9,4841000
Nicaragua,5592,12520915291,17.40,74.3,6545502
Niger,2017,12928145120,4.40,62,23310715
Nigeria,120369,448120428859,10.20,54.3,200963599
North Korea,28284,32100000000,27.00,72.1,25666161
North Macedonia,,10220781069,,,1836713
Norway,41023,403336363636,82.00,82.8,5347896
Oman,63457,76983094928,38.00,77.6,5266535
Pakistan,201150,304400000000,9.00,67.1,216565318
Palau,224,283994900,54.70,69.1,18233
Palestinian National Authority,,,,,
Panama,10715,66800800000,47.80,78.3,4246439
Papua New Guinea,7536,24969611435,1.80,64.3,8776109
Paraguay,7407,38145288940,34.60,74.1,7044636
Peru,57414,226848050820,70.70,76.5,32510453
Philippines,122287,376795508680,35.50,71.1,108116615
Poland,299037,592164400688,67.80,77.6,37970874
Portugal,48742,237686075635,63.90,81.3,10269417
Qatar,103259,183466208791,17.90,80.1,2832067
Romania,69259,250077444017,49.40,75.4,19356544
Russia,1732027,1699876578871,81.90,72.7,144373535
Rwanda,1115,10122472590,6.70,68.7,12626950
Saint Kitts and Nevis,238,1050992593,86.70,71.3,52823
Saint Lucia,414,2122450630,14.10,76.1,182790
Saint Vincent and the Grenadines,220,825385185,23.70,72.4,100455
Samoa,246,850655017,7.60,73.2,202506
San Marino,,1637931034,42.50,85.4,33860
S�����������,121,429016605,13.40,70.2,215056
Saudi Arabia,563449,792966838162,68.00,75,34268528
Senegal,10902,23578084052,12.80,67.7,16296364
Serbia,45221,51409167351,67.20,75.5,6944975
Seychelles,605,1698843063,17.10,72.8,97625
Sierra Leone,1093,3941474311,2.00,54.3,7813215
Singapore,37535,372062527489,84.80,83.1,5703569
Slovakia,32424,105422304976,46.60,77.2,5454073
Slovenia,12633,53742159517,78.60,81,2087946
Solomon Islands,169,1425074226,,72.8,669823
Somalia,645,4720727278,2.50,57.1,15442905
South Africa,476644,351431649241,22.40,63.9,58558270
South Korea,620302,2029000000000,94.30,82.6,51709098
South Sudan,1727,11997800751,,57.6,11062113
Spain,244002,1394116310769,88.90,83.3,47076781
Sri Lanka,23362,84008783756,19.60,76.8,21803000
Sudan,20000,18902284476,16.90,65.1,42813238
Suriname,1738,3985250737,12.60,71.6,581372
Sweden,43252,530832908738,67.00,82.5,10285453
Switzerland,34477,703082435360,59.60,83.6,8574832
Syria,28830,40405006007,40.10,71.8,17070135
Tajikistan,5310,8116626794,31.30,70.9,9321018
Tanzania,11973,63177068175,4.00,65,58005463
Thailand,283763,543649976166,49.30,76.9,69625582
East Timor,495,1673540300,17.80,69.3,3500000
Togo,3000,5459979417,14.50,60.8,8082366
Tonga,128,450353314,6.40,70.8,100209
Trinidad and Tobago,43868,24100202834,12.00,73.4,1394973
Tunisia,29937,38797709924,31.70,76.5,11694719
Turkey,372725,754411708203,23.90,77.4,83429615
Turkmenistan,70630,40761142857,8.00,68.1,5942089
Tuvalu,11,47271463,,,11646
Uganda,5680,34387229486,4.80,63,44269594
Ukraine,202250,153781069118,82.70,71.6,44385155
United Arab Emirates,206324,421142267938,36.80,77.8,9770529
United Kingdom,379025,2827113184696,60.00,81.3,66834405
United States,5006302,21427700000000,88.20,78.5,328239523
Uruguay,6766,56045912952,63.10,77.8,3461734
Uzbekistan,91811,57921286440,10.10,71.6,33580650
Vanuatu,147,917058851,4.70,70.3,299882
Venezuela,164175,482359318768,79.30,72.1,28515829
Vietnam,192668,261921244843,28.50,75.3,96462106
Yemen,10609,26914402224,10.20,66.1,29161922
Zambia,5141,23064722446,4.10,63.5,17861030
Zimbabwe,10983,21440758800,10.00,61.2,14645468
